iter	MultiClass
0	1.078117592
1	1.058208768
2	1.040557315
3	1.022248588
4	1.004790172
5	0.9902214078
6	0.9772451207
7	0.9584313178
8	0.9471606202
9	0.9357487356
10	0.9262069396
11	0.9113487596
12	0.8978232646
13	0.8871200825
14	0.8747396862
15	0.8639122067
16	0.8529195767
17	0.8465304638
18	0.8374376774
19	0.82466566
20	0.8144235432
21	0.8049165887
22	0.7968219625
23	0.7891683112
24	0.7808296091
25	0.7722197679
26	0.7631830919
27	0.7564533285
28	0.7478473859
29	0.7409347242
30	0.7335408408
31	0.7275407501
32	0.721927569
33	0.716770168
34	0.7100487184
35	0.7044777795
36	0.6979741139
37	0.6908750591
38	0.6849012946
39	0.6782045923
40	0.6741382719
41	0.6670159444
42	0.6609501048
43	0.656545443
44	0.6495941973
45	0.6464772629
46	0.6427165768
47	0.6374624328
48	0.6305736083
49	0.6245132639
50	0.6180225219
51	0.6134014508
52	0.6104108034
53	0.6077727739
54	0.6021228838
55	0.5992886206
56	0.593894109
57	0.589638806
58	0.5837583399
59	0.5811091812
60	0.5781759484
61	0.5759345912
62	0.5716538268
63	0.5671867384
64	0.5620135976
65	0.5574841975
66	0.5542554194
67	0.5501828028
68	0.5467458829
69	0.5423402588
70	0.5383931746
71	0.5339140287
72	0.5310434139
73	0.5267892674
74	0.5229923814
75	0.5185675032
76	0.5150094309
77	0.5109983542
78	0.506664795
79	0.5027345481
80	0.4995039019
81	0.4959035095
82	0.4923076116
83	0.4884375718
84	0.4847837537
85	0.4808187462
86	0.4782871468
87	0.4747389747
88	0.4710151821
89	0.4668804295
90	0.4645480845
91	0.4612226502
92	0.4581631593
93	0.4542066355
94	0.4509030944
95	0.4482493739
96	0.4454641944
97	0.441519689
98	0.439050686
99	0.4349181741
100	0.4318986055
101	0.429283208
102	0.4273206213
103	0.4250907593
104	0.4219597824
105	0.41949826
106	0.4155990048
107	0.4128370912
108	0.4104316325
109	0.4084030201
110	0.4056155907
111	0.4019369326
112	0.3992993763
113	0.3972018725
114	0.3952163588
115	0.3934946761
116	0.3910971167
117	0.3886102613
118	0.3867832143
119	0.3841920031
120	0.3808620428
121	0.3778115489
122	0.3746555884
123	0.3730095465
124	0.3712281005
125	0.3694232075
126	0.3678677275
127	0.3657018896
128	0.3641147917
129	0.3609786015
130	0.3584291304
131	0.3561482947
132	0.3537295572
133	0.3518471881
134	0.3491250599
135	0.3469393767
136	0.3447823405
137	0.342090185
138	0.3398443093
139	0.3375051184
140	0.3349077681
141	0.3330319479
142	0.3313369079
143	0.329700912
144	0.3273114816
145	0.325197642
146	0.3231533524
147	0.3199217089
148	0.3181892868
149	0.3157575507
150	0.3136031326
151	0.3111184035
152	0.3094076452
153	0.3078356734
154	0.3062863187
155	0.30467149
156	0.3031711399
157	0.3016488302
158	0.300251679
159	0.2991310375
160	0.2972693099
161	0.2953381459
162	0.2936934884
163	0.2921202207
164	0.2902704599
165	0.2888341079
166	0.2876866126
167	0.2864881536
168	0.2850150868
169	0.2837687899
170	0.2823872237
171	0.2812386809
172	0.2794780619
173	0.2775144502
174	0.2757964489
175	0.2737209777
176	0.2721274676
177	0.2709399016
178	0.2693324456
179	0.2676044562
180	0.2666180997
181	0.2658478435
182	0.2641674556
183	0.2628710892
184	0.2619374784
185	0.2607609884
186	0.2591889433
187	0.2583330883
188	0.2574776595
189	0.2561503028
190	0.2541854605
191	0.2524703657
192	0.2513657454
193	0.2502745455
194	0.249169466
195	0.2478702824
196	0.2463623743
197	0.2453751793
198	0.2439568314
199	0.2426916649
200	0.2414046685
201	0.2402302128
202	0.2393553053
203	0.238385365
204	0.2372966017
205	0.2365229555
206	0.2356038248
207	0.2346078491
208	0.2333920078
209	0.2318869901
210	0.2308971228
211	0.2296070192
212	0.2286427161
213	0.227933462
214	0.2270720607
215	0.2259514543
216	0.2247430413
217	0.2238531806
218	0.2226420228
219	0.2215131734
220	0.2206495113
221	0.2193060122
222	0.2184950597
223	0.2176324706
224	0.2166761955
225	0.2155982261
226	0.2146688428
227	0.2139306531
228	0.2131277737
229	0.2123727551
230	0.2115476999
231	0.210673346
232	0.2098783116
233	0.2093191584
234	0.2083850573
235	0.207564619
236	0.2068593933
237	0.2057240663
238	0.2047559801
239	0.2037157285
240	0.2030458738
241	0.2020561084
242	0.2013833282
243	0.2003175851
244	0.199641402
245	0.1988965257
246	0.1983246966
247	0.1973065663
248	0.1966806578
249	0.1959153812
250	0.1948915866
251	0.1942941744
252	0.1937932291
253	0.1928726938
254	0.1920093078
255	0.1909648445
256	0.1898687241
257	0.1892413095
258	0.188657309
259	0.1879552813
260	0.1873518035
261	0.1869897052
262	0.1863900378
263	0.1856092612
264	0.1848084576
265	0.1840060731
266	0.1833426942
267	0.1827634099
268	0.1821119507
269	0.1816589983
270	0.1807157763
271	0.1802349789
272	0.1795761575
273	0.1787865476
274	0.1782085083
275	0.1776992854
276	0.1769727404
277	0.1762129918
278	0.1756914892
279	0.1746973234
280	0.17418862
281	0.1736619273
282	0.1733472603
283	0.1728004614
284	0.1719875119
285	0.1713360014
286	0.1706637869
287	0.1701041716
288	0.1695798777
289	0.1690769604
290	0.1684142429
291	0.1677730053
292	0.1670318076
293	0.1663483267
294	0.1656280482
295	0.1645802962
296	0.1641286637
297	0.1634477277
298	0.1630238719
299	0.1623144391
300	0.1614999923
301	0.1609330942
302	0.1604245903
303	0.159937829
304	0.1594837249
305	0.1588544383
306	0.158356187
307	0.1578484015
308	0.1573797837
309	0.1568413298
310	0.1562904411
311	0.155806897
312	0.1551192264
313	0.1544110714
314	0.1536969087
315	0.1533875374
316	0.1528329236
317	0.1523782269
318	0.1520309696
319	0.1516195845
320	0.1512441905
321	0.1509615232
322	0.1505557897
323	0.1500463315
324	0.1496027964
325	0.1492371461
326	0.148722062
327	0.1483613186
328	0.1478910367
329	0.1472625689
330	0.1468235252
331	0.1463258083
332	0.1456238255
333	0.1453258062
334	0.1449470243
335	0.1444643054
336	0.1441072282
337	0.1436845346
338	0.1433843277
339	0.1429949773
340	0.1425722692
341	0.142098028
342	0.141723598
343	0.1413782046
344	0.1409141884
345	0.1404896772
346	0.139875533
347	0.1394753774
348	0.1388400172
349	0.1382971339
350	0.1380261139
351	0.1376709211
352	0.137315652
353	0.1369762276
354	0.1367311923
355	0.1364202258
356	0.1359370626
357	0.1356193354
358	0.1353739819
359	0.1349943144
360	0.1345709369
361	0.1343012033
362	0.1339042006
363	0.1335088413
364	0.1332005856
365	0.1329039221
366	0.1324204308
367	0.1320774466
368	0.1317143187
369	0.1314580929
370	0.1311003327
371	0.1307994458
372	0.1303685679
373	0.12996026
374	0.1296337285
375	0.129407034
376	0.12911345
377	0.128733304
378	0.1283146134
379	0.1280083729
380	0.1277035252
381	0.1272550716
382	0.1269698424
383	0.1267102209
384	0.1263963843
385	0.1261301829
386	0.1257480258
387	0.1253910499
388	0.1251565774
389	0.1249029598
390	0.1245425508
391	0.1241886812
392	0.1238811454
393	0.1235882053
394	0.1234298411
395	0.1229610767
396	0.1226998871
397	0.1223349722
398	0.1221099831
399	0.121739294
400	0.1214989427
401	0.1211900805
402	0.1208303158
403	0.1203710029
404	0.1201645392
405	0.1197284832
406	0.1193510582
407	0.1191188554
408	0.1189085012
409	0.1186617442
410	0.1183049596
411	0.1179416764
412	0.1176782997
413	0.117534228
414	0.1173019963
415	0.117000977
416	0.1168509982
417	0.1165258691
418	0.1163075979
419	0.1160920126
420	0.1158177504
421	0.1155969241
422	0.1153673968
423	0.1151624747
424	0.1148815076
425	0.1146439675
426	0.1142827273
427	0.1141617325
428	0.1138280561
429	0.1136212922
430	0.1134101247
431	0.1131332342
432	0.1129049274
433	0.1127568532
434	0.1125924121
435	0.1123599059
436	0.1121241693
437	0.1118852689
438	0.111719006
439	0.1114301863
440	0.1111037235
441	0.1109103136
442	0.110634756
443	0.1104081034
444	0.1102485617
445	0.1099612429
446	0.1098176212
447	0.1096036009
448	0.1093372613
449	0.1090482709
450	0.1088345636
451	0.1086997129
452	0.1084520368
453	0.1083147056
454	0.1081336653
455	0.1078947645
456	0.1076898341
457	0.1074345875
458	0.1071080984
459	0.1068739378
460	0.1066281839
461	0.1065053442
462	0.106349311
463	0.1061473645
464	0.1058468049
465	0.1056126217
466	0.1053599016
467	0.1050169656
468	0.1046068763
469	0.1044066239
470	0.1041394578
471	0.1039186281
472	0.103682959
473	0.103454713
474	0.1032150407
475	0.103081191
476	0.1028805157
477	0.1027985227
478	0.1025503534
479	0.1022967803
480	0.1021662781
481	0.1020684438
482	0.1018111624
483	0.1015544905
484	0.1013165433
485	0.1010896587
486	0.1008490343
487	0.1006596294
488	0.1005237893
489	0.1003160768
490	0.09982164107
491	0.09959099009
492	0.09937792592
493	0.09919110468
494	0.09892747686
495	0.09868894056
496	0.09850474562
497	0.09833576733
498	0.09815381172
499	0.09804839491
500	0.09782386324
501	0.09762821212
502	0.0974091213
503	0.09718491451
504	0.09701260301
505	0.09690323553
506	0.09669784635
507	0.09647159199
508	0.09631179716
509	0.09617082507
510	0.09603983424
511	0.09591746589
512	0.09581348605
513	0.0956956632
514	0.09553964322
515	0.09539806046
516	0.09507114089
517	0.09488578652
518	0.0946916099
519	0.09455437276
520	0.0943353546
521	0.09412843742
522	0.09395317126
523	0.09375209101
524	0.09357617861
525	0.0934669224
526	0.09337744101
527	0.093249548
528	0.09307552666
529	0.09290498033
530	0.09263218521
531	0.09249531041
532	0.09233656818
533	0.09219877532
534	0.09204793462
535	0.09187693479
536	0.09174659599
537	0.0915264406
538	0.09145491595
539	0.09132632279
540	0.09110212796
541	0.09093778522
542	0.09078507312
543	0.09065335662
544	0.0904529419
545	0.09034026487
546	0.09022633035
547	0.09012127408
548	0.08999930715
549	0.08990524565
550	0.08971818164
551	0.08959069032
552	0.08939678103
553	0.08922864367
554	0.08911890297
555	0.08899248703
556	0.08877510802
557	0.08869675238
558	0.08855251728
559	0.08836777229
560	0.08825442975
561	0.08813428151
562	0.08799857728
563	0.08782036354
564	0.08765447324
