iter	Passed	Remaining
0	0	259
1	0	266
2	0	251
3	1	252
4	1	262
5	1	262
6	1	260
7	2	256
8	2	234
9	2	235
10	2	234
11	2	233
12	3	232
13	3	229
14	3	229
15	3	227
16	3	226
17	4	226
18	4	225
19	4	226
20	4	226
21	5	226
22	5	226
23	5	226
24	5	225
25	6	226
26	6	227
27	6	226
28	6	226
29	7	226
30	7	226
31	7	226
32	7	226
33	7	226
34	8	226
35	8	226
36	8	225
37	8	225
38	9	224
39	9	224
40	9	224
41	9	224
42	10	223
43	10	224
44	10	225
45	10	224
46	11	225
47	11	226
48	11	225
49	12	228
50	12	228
51	12	227
52	12	227
53	12	226
54	13	226
55	13	225
56	13	225
57	13	225
58	14	224
59	14	223
60	14	223
61	14	223
62	15	223
63	15	223
64	15	223
65	15	222
66	15	222
67	16	222
68	16	222
69	16	222
70	17	222
71	17	222
72	17	221
73	17	221
74	17	221
75	18	221
76	18	220
77	18	220
78	18	220
79	19	219
80	19	219
81	19	218
82	19	218
83	20	218
84	20	217
85	20	217
86	20	217
87	20	216
88	21	216
89	21	216
90	21	215
91	21	215
92	22	215
93	22	215
94	22	215
95	22	215
96	23	214
97	23	214
98	23	214
99	23	213
100	24	213
101	24	213
102	24	213
103	24	212
104	25	213
105	25	213
106	25	213
107	25	212
108	26	212
109	26	212
110	26	211
111	26	211
112	26	211
113	27	211
114	27	210
115	27	210
116	27	210
117	28	209
118	28	209
119	28	209
120	28	208
121	28	208
122	29	208
123	29	207
124	29	207
125	29	206
126	30	206
127	30	206
128	30	206
129	30	206
130	31	205
131	31	206
132	31	206
133	31	205
134	32	205
135	32	205
136	32	204
137	32	204
138	33	204
139	33	204
140	33	203
141	33	203
142	33	203
143	34	203
144	34	202
145	34	202
146	35	203
147	35	202
148	35	202
149	35	202
150	35	201
151	36	201
152	36	201
153	36	200
154	36	200
155	36	199
156	37	198
157	37	198
158	37	197
159	37	197
160	37	196
161	37	196
162	38	196
163	38	195
164	38	195
165	38	195
166	39	194
167	39	194
168	39	194
169	39	193
170	39	193
171	40	193
172	40	193
173	40	193
174	40	192
175	41	192
176	41	192
177	41	192
178	41	191
179	42	191
180	42	191
181	42	191
182	42	191
183	43	190
184	43	190
185	43	190
186	43	190
187	43	189
188	44	189
189	44	189
190	44	189
191	44	188
192	45	188
193	45	188
194	45	188
195	45	187
196	46	188
197	46	187
198	46	187
199	46	187
200	47	187
201	47	188
202	48	189
203	48	190
204	49	193
205	50	193
206	50	194
207	51	195
208	51	196
209	52	196
210	53	200
211	56	209
212	56	210
213	57	210
214	59	216
215	63	229
216	63	230
217	64	230
218	64	231
219	66	234
220	66	234
221	66	234
222	67	234
223	67	234
224	68	235
225	68	235
226	69	236
227	70	239
228	71	239
229	71	238
230	71	238
231	71	238
232	76	253
233	77	254
234	78	255
235	78	255
236	79	255
237	79	255
238	80	255
239	80	255
240	80	254
241	81	254
242	81	254
243	82	254
244	82	253
245	82	252
246	82	252
247	83	251
248	83	251
249	83	250
250	83	249
251	83	249
252	84	248
253	84	248
254	84	247
255	85	247
256	85	246
257	85	246
258	85	246
259	86	245
260	86	245
261	86	244
262	87	243
263	87	243
264	87	243
265	87	242
266	88	242
267	88	241
268	88	241
269	89	240
270	89	240
271	89	239
272	89	239
273	89	238
274	90	237
275	90	237
276	90	236
277	90	235
278	91	235
279	91	234
280	91	234
281	91	233
282	91	233
283	92	232
284	92	232
285	92	232
286	93	231
287	93	231
288	93	230
289	94	230
290	94	229
291	94	229
292	94	229
293	95	228
294	95	228
295	95	227
296	96	227
297	96	226
298	96	226
299	96	226
300	97	225
301	97	225
302	98	225
303	98	224
304	98	224
305	98	224
306	99	223
307	99	223
308	99	222
309	99	222
310	100	221
311	100	221
312	100	220
313	100	220
314	101	219
315	101	219
316	101	218
317	101	218
318	102	217
319	102	217
320	102	216
321	102	216
322	102	215
323	103	215
324	103	214
325	103	214
326	103	214
327	104	213
328	104	213
329	104	212
330	104	212
331	105	211
332	105	211
333	105	210
334	105	210
335	106	209
336	106	209
337	106	208
338	106	208
339	107	207
340	107	207
341	107	206
342	107	206
343	108	205
344	108	205
345	108	205
346	108	204
347	109	204
348	109	203
349	109	203
350	109	202
351	109	202
352	110	201
353	110	201
354	110	201
355	110	200
356	111	200
357	111	199
358	111	199
359	111	198
360	112	198
361	112	198
362	112	197
363	112	197
364	113	196
365	113	196
366	113	195
367	113	195
368	114	195
369	114	194
370	114	194
371	114	193
372	115	193
373	115	192
374	115	192
375	115	192
376	115	191
377	116	191
378	116	190
379	116	190
380	116	189
381	117	189
382	117	189
383	117	188
384	117	188
385	118	187
386	118	187
387	118	187
388	118	186
389	119	186
390	119	186
391	119	185
392	119	185
393	120	184
394	120	184
395	120	184
396	120	183
397	121	183
398	121	182
399	121	182
400	121	182
401	122	181
402	122	181
403	122	180
404	122	180
405	123	180
406	123	179
407	123	179
408	123	178
409	124	178
410	124	178
411	124	177
412	124	177
413	124	176
414	125	176
415	125	176
416	125	175
417	125	175
418	126	175
419	126	174
420	126	174
421	127	174
422	127	173
423	127	173
424	127	173
425	128	172
426	128	172
427	128	171
428	128	171
429	129	171
430	129	170
431	129	170
432	129	170
433	130	169
434	130	169
435	130	168
436	130	168
437	130	167
438	131	167
439	131	167
440	131	166
441	131	166
442	132	166
443	132	166
444	132	165
445	133	165
446	133	165
447	133	164
448	133	164
449	134	163
450	134	163
451	134	163
452	134	162
453	135	162
454	135	162
455	135	161
456	136	161
457	136	161
458	136	160
459	136	160
460	136	160
461	137	159
462	137	159
463	138	160
464	139	160
465	139	159
466	139	159
467	140	159
468	140	159
469	141	159
470	143	160
471	143	160
472	144	160
473	144	160
474	144	159
475	144	159
476	145	159
477	145	158
478	145	158
479	145	158
480	146	157
481	146	157
482	146	157
483	147	156
484	147	156
485	147	156
486	148	155
487	148	155
488	148	155
489	148	155
490	149	155
491	150	155
492	150	155
493	151	154
494	151	154
495	151	154
496	152	154
497	152	153
498	152	153
499	152	152
500	153	152
501	153	152
502	153	152
503	154	151
504	154	151
505	154	150
506	154	150
507	155	150
508	155	149
509	155	149
510	155	149
511	156	148
512	156	148
513	156	148
514	157	147
515	157	147
516	157	147
517	157	146
518	157	146
519	158	146
520	158	145
521	158	145
522	159	145
523	159	144
524	159	144
525	159	143
526	160	144
527	160	143
528	161	143
529	161	143
530	161	142
531	161	142
532	162	142
533	162	141
534	162	141
535	162	141
536	163	140
537	163	140
538	163	139
539	163	139
540	164	139
541	164	139
542	164	138
543	165	138
544	165	138
545	165	137
546	165	137
547	166	137
548	166	136
549	166	136
550	166	136
551	167	135
552	167	135
553	167	134
554	167	134
555	168	134
556	168	133
557	168	133
558	168	133
559	169	132
560	169	132
561	169	132
562	169	131
563	170	131
564	170	131
565	170	130
566	170	130
567	171	130
568	171	129
569	171	129
570	171	129
571	172	128
572	172	128
573	172	128
574	173	127
575	173	127
576	173	127
577	173	126
578	174	126
579	174	126
580	174	125
581	174	125
582	175	125
583	175	124
584	175	124
585	175	124
586	176	123
587	176	123
